,#,When,Who,Problem,Lang,Verdict,Time,Memory
0,65401506,Nov/20/2019 01:43,friedrich_hayek,B - Delete from the Left,GNU C11,Accepted,31 ms,400 KB
1,65401082,Nov/20/2019 01:16,friedrich_hayek,A - A Serial Killer,GNU C11,Accepted,31 ms,0 KB
2,65342971,Nov/19/2019 14:37,friedrich_hayek,A - Yellow Cards,GNU C11,Accepted,46 ms,0 KB
3,65342843,Nov/19/2019 14:35,friedrich_hayek,A - Yellow Cards,GNU C11,Wrong answer on test 7,15 ms,0 KB
4,65312444,Nov/18/2019 18:51,friedrich_hayek,A - Second Order Statistics,GNU C11,Accepted,62 ms,0 KB
5,65311883,Nov/18/2019 18:39,friedrich_hayek,A - Palindromic Twist,GNU C11,Accepted,31 ms,0 KB
6,65296060,Nov/18/2019 14:32,friedrich_hayek,A - Magic Numbers,GNU C11,Accepted,62 ms,0 KB
7,65273850,Nov/18/2019 00:58,friedrich_hayek,B - Disturbed People,GNU C11,Accepted,31 ms,0 KB
8,65266771,Nov/17/2019 20:27,friedrich_hayek,A - Shaass and Oskols,GNU C11,Accepted,62 ms,0 KB
9,65257151,Nov/17/2019 16:48,friedrich_hayek,A - Broken Keyboard,GNU C11,Accepted,31 ms,0 KB
10,65255241,Nov/17/2019 16:13,friedrich_hayek,A - Ostap and Grasshopper,GNU C11,Accepted,31 ms,0 KB
11,65215064,Nov/16/2019 21:17,friedrich_hayek,A - Andryusha and Socks,GNU C11,Accepted,62 ms,400 KB
12,65211788,Nov/16/2019 21:06,friedrich_hayek,A - Two Rival Students,GNU C11,Accepted,31 ms,0 KB
13,65108365,Nov/15/2019 23:31,friedrich_hayek,A - PolandBall and Hypothesis,GNU C11,Accepted,31 ms,0 KB
14,65105166,Nov/15/2019 21:58,friedrich_hayek,A - Duff and Meat,GNU C11,Accepted,46 ms,800 KB
15,64906625,Nov/15/2019 01:32,friedrich_hayek,A - Cashier,GNU C11,Accepted,62 ms,0 KB
16,64878694,Nov/14/2019 13:51,friedrich_hayek,B - Badge,GNU C11,Accepted,31 ms,0 KB
17,64798314,Nov/13/2019 16:41,friedrich_hayek,A - Okabe and Future Gadget Laboratory,GNU C11,Accepted,31 ms,0 KB
18,64797190,Nov/13/2019 16:18,friedrich_hayek,A - Neverending competitions,GNU C11,Accepted,31 ms,0 KB
19,64761748,Nov/12/2019 22:19,friedrich_hayek,B - Strings Equalization,GNU C11,Accepted,31 ms,0 KB
20,64760544,Nov/12/2019 21:58,friedrich_hayek,A - Parity,GNU C11,Accepted,31 ms,0 KB
21,64742506,Nov/12/2019 15:26,friedrich_hayek,A - Kefa and First Steps,GNU C11,Accepted,46 ms,0 KB
22,64717170,Nov/12/2019 02:21,friedrich_hayek,A - Borya's Diagnosis,GNU C11,Accepted,93 ms,0 KB
23,64716780,Nov/12/2019 01:53,friedrich_hayek,A - 2048 Game,GNU C11,Accepted,31 ms,0 KB
24,64708283,Nov/11/2019 20:28,friedrich_hayek,A - City Day,GNU C11,Accepted,46 ms,400 KB
25,64708179,Nov/11/2019 20:26,friedrich_hayek,A - City Day,GNU C11,Wrong answer on test 38,46 ms,400 KB
26,64704131,Nov/11/2019 18:50,friedrich_hayek,B - Maximal Continuous Rest,GNU C11,Accepted,46 ms,2300 KB
27,64702909,Nov/11/2019 18:26,friedrich_hayek,A - Detective Book,GNU C11,Wrong answer on test 6,15 ms,0 KB
28,64609396,Nov/10/2019 02:40,friedrich_hayek,B - Different is Good,GNU C11,Accepted,31 ms,0 KB
29,64609332,Nov/10/2019 02:37,friedrich_hayek,B - Different is Good,GNU C11,Wrong answer on test 30,46 ms,0 KB
30,64609316,Nov/10/2019 02:36,friedrich_hayek,B - Different is Good,GNU C11,Wrong answer on test 11,31 ms,0 KB
31,64609263,Nov/10/2019 02:33,friedrich_hayek,B - Different is Good,GNU C11,Wrong answer on test 8,31 ms,0 KB
32,64609100,Nov/10/2019 02:22,friedrich_hayek,A - Splits,GNU C11,Accepted,31 ms,0 KB
33,64603552,Nov/09/2019 22:24,friedrich_hayek,B - Equalize Prices,GNU C11,Accepted,31 ms,0 KB
34,64603482,Nov/09/2019 22:22,friedrich_hayek,B - Equalize Prices,GNU C11,Wrong answer on test 2,15 ms,0 KB
35,64598871,Nov/09/2019 20:51,friedrich_hayek,A - Valera and Antique Items,GNU C11,Accepted,31 ms,0 KB
